objectid,objectlocation,filename,title,creator,date,archivaldate,description,subject,location,idaho county,source,identifier,type,formatoriginal,format,findingaid,digitalcollection,contributinginstitution,language,rights,rightsstatement,displaytemplate
object_1,https://www.lib.uidaho.edu/digital/shitamae/items/shitamae027.html,object_1.pdf,School Letter Update From George To Yukiko,"Shitamae, Yoshiko",1942-06-25,Summer 1942,A letter from Yoshiko George Shitamae's niece who was located at Camp Harmony in Puyallup,"activites, entertainment","Puyallup, WA",,George Shihei Shitamae papers,mg387_03_027,Image,letter,application/pdf,https://www.lib.uidaho.edu/digital/shitamae/items/shitamae027.html,Shitamae Family Letters,University Of Idaho,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf
object_2,https://objects.lib.uidaho.edu/hiroshima/argonaut_1942-04-24_pg1.jpg,object_2.jpeg,Argonaut Article Mentions that the University has made no change to their 'No Jap' Policy,University of Idaho Student Media,1942-04-24,Spring 1942,Article on the how six Japanese-American students were brought to Moscow and the University's stance.,newspaper clippings students university relocation,"Moscow, ID",Latah,University Argonaut,Idaho Newspapers On Microfilm,Image,document,image/jpeg,https://www.lib.uidaho.edu/digital/hiroshima/items/hiroshima087.html,University Argonaut,University Of Idaho,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,jpeg
object_3,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page28_a.jpg,object_3.jpeg,Photo Of Kooskia Internment Camp Bulletin Board,Kooskia Internment Camp,1944,1944,Image of bulletin board. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"Japanese Americans Evacuation and relocation, 1942-1945 Kooskia (Idaho)","Kooskia, ID",Idaho,Billboard In Kooskia,"PG 103, Box 1, page 28, item b",Image,photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,Kooskia Internment Camp Scrapbook,University Of Idaho,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,jpeg
object_4,https://ddr.densho.org/ddr-densho-26-261/,object_4.jpeg,Painting Of Lake And Mountain Scene,,,,Painting Of A Lake and Mountain,"Visual Arts, Painting",,,"Yanagihara Family Collection, Densho",ddr-densho-26-261,Image,photograph,image/jpeg,https://ddr.densho.org/ddr-densho-26-261-mezzanine-51540b7feb/,Yanagihara Collection,Deshno Digital Repository,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.", https://creativecommons.org/licenses/by-nc-sa/4.0/,jpeg
object_5,https://ddr.densho.org/ddr-densho-371-1/,object_5.jpeg,Painting Of The Gila River Camp,Dick Sata,1942,1942,Painting Of The Gila River In Arizona,"Visual Arts, Painting",Gila River Arizona,,"Sata Family Collection, Densho",ddr-densho-371-1,Image,photograph,image/jpeg,https://ddr.densho.org/ddr-densho-371-1-mezzanine-b2b7842bf9/,Sata Family Collection,Deshno Digital Repository,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.", https://creativecommons.org/licenses/by-nc-sa/4.0/,jpeg
object_6,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1939-10-06.pdf,object_6.pdf,"Argonaut Article has a message from then president Harrison Dale, who students to take a more active role in student governmet.  This article was published approximately one month after WW2 began.",University of Idaho Student Media,1939-10-06,Fall 1939,Article on the level of involvement of students within student government as mentioned by the president,memorial plans asui president,"Moscow, ID",Latah,University Argonaut,Idaho Newspapers On Microfilm,Image,newspaper,application/pdf,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1939-10-06.pdf,University Argonaut,University Of Idaho,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf
object_7,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1941-05-27.pdf,object_7.pdf,"Argonaut Article which discusses the building of a new armory for the ROTC and the allotment of $200,000 for the building of this armory.",University of Idaho Student Media,1941-05-27,Spring 1941,Article on the building and cost of a new armory,alpha phi omega intramural sports,"Moscow, ID",Latah,University Argonaut,Idaho Newspapers On Microfilm,Image,newspaper,application/pdf,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1941-05-27.pdf,University Argonaut,University Of Idaho,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf
object_8,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1942-11-12.pdf,object_8.pdf,Argonaut Article discusses a speciality unit of the army on campus offering military training to women,University of Idaho Student Media,1942-11-12,Fall 1942,Article discusses military for women within a special unit as women are an essential part of helping out in the war effort, football military training for youth,"Moscow, ID",Latah,University Argonaut,Idaho Newspapers On Microfilm,Image,newspaper,application/pdf,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1942-11-12.pdf,University Argonaut,University Of Idaho,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf
object_9,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1941-12-09.pdf,object_9.pdf,Argonaut Article focuses on the bombing of Pearl Harbor with the student government and U Of I president drafting declarations regarding the war,University of Idaho Student Media,1941-12-9,Winter 1941,Article discusses declarations regarding the war drafted by the then U Of I president and student government,nya student union activities board war policy,"Moscow, ID",Latah,University Argonaut,Idaho Newspapers On Microfilm,Image,newspaper,application/pdf,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1941-12-09.pdf,University Argonaut,University Of Idaho,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf
object_10,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1945-05-24.pdf,object_10.pdf,Argonaut Article mentions running behind on their paper release due to the war effort needing paper from the paper mill,University of Idaho Student Media,1945-05-24,Spring 1945,Article discusses a memorial for those who lost their lives during WW2 and the delay of the relase of the Argonaut paper.,commencement united nations conference,"Moscow, ID",Latah,University Argonaut,Idaho Newspapers On Microfilm,Image,newspaper,application/pdf,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1945-05-24.pdf,University Argonaut,University Of Idaho,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf
object_11,https://www.lib.uidaho.edu/digital/argonaut/items/arg-1945-09-19.html,object_11.pdf,Argonaut Article discusses the arrival of the first ROTC unit to campus and increase in enrollment due to WW2 veterans returning to campus,University of Idaho Student Media,1945-19-09,Fall 1949,Article discusses increase enrollment in student numbers due to veterans returning to campus after WW2 ended,enrollment - university of idaho  navy rotc  veterans,"Moscow, ID",Latah,University Argonaut,Idaho Newspapers On Microfilm,Image,newspaper,application/pdf,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1949-11-15.pdf,University Argonaut,University Of Idaho,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf
object_12,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1935-04-02.pdf,object_12.pdf,Argonaut Article has a small section which discusses a debate with Utah State students on the debate team who were debating the question 'should munitions be deported oversees'?,University of Idaho Student Media,1935-04-02,Spring 1935,Article discusses the debate of whether or not munitions should be sent oversees,international relations club conference swimming,"Moscow, ID",Latah,University Argonaut,Idaho Newspapers On Microfilm,Image,newspaper,application/pdf,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1935-04-02.pdf,University Argonaut,University Of Idaho,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf
object_13,https://www.lib.uidaho.edu/digital/argonaut/items/arg-1949-11-15.html,object_13.pdf,Argonaut Article ,University of Idaho Student Media,1949-11-15,Fall 1949,Article discusses four men who received four men who recieved the Rhodes schoalrship and were now headed to Oxford,international relations club kuoi,"Moscow, ID",Latah,University Argonaut,Idaho Newspapers On Microfilm,Image,newspaper,application/pdf,https://www.lib.uidaho.edu/digital/argonaut/items/arg-1949-11-15.html,University Argonaut,University Of Idaho,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf
